Adduct,Mass
"[M-3H]3-",-3.021828
"[M-2H]2-",-2.014552
"[M-H2O-H]-",-19.01839
"[M-H]-",-1.007276
"[M+Na-2H]-",20.974666
"[M+Cl]-",34.969402
"[M+K-2H]-",36.948606
"[M+HCOO]-",44.998201
"[M+FA-H]-",44.998201
"[M+CH3COO]-",59.013851
"[M-H+(CH3COONa)]-",80.995794
"[M+HCOO+(CH3COONa)]-",127.001271
"[M+CH3COO+(CH3COONa)]-",141.016921
"[M+CH3COO+(CH3COONa)2]-",223.019991
"[M+CH3COO+(CH3COONa)3]-",305.023061
"[M+CH3COO-CH3COOCH3]-",-15.022928
"[M-H-H2O]-",-19.018390
"[M+Br]-",78.918885
"[M+TFA-H]-",112.985586
"[2M-H]-",-1.007276
"[2M+FA-H]-",44.998201
"[2M+CH3COO]-",59.013851
"[3M-H]-",-1.007276
