Adduct,Mass
"[M+3H]3+",3.021828
"[M+2H+Na]3+",25.003770
"[M+H+2Na]3+",46.987360
"[M+3Na]3+",68.967654
"[M+2H]2+",2.014552
"[M+H+NH4]2+",19.041100
"[M+H+Na]2+",23.996494
"[M+H+K]2+",39.970434
"[M+ACN+2H]2+",43.041100
"[M+2Na]2+",45.978436
"[M+2ACN+2H]2+",84.067646
"[M+3ACN+2H]2+",125.094194
"[M+H]+",1.007276
"[M+NH4]+",18.033823
"[M+Na]+",22.989218
"[M+CH3OH+H]+",33.033489
"[M+K]+",38.963158
"[M+ACN+H]+",42.033823
"[M+2Na-H]+",44.971160
"[M+IsoProp+H]+",61.065340
"[M+ACN+Na]+",64.015765
"[M+2K-H]+",76.919040
"[M+DMSO+H]+",79.021220
"[M+2ACN+H]+",83.060370
"[M+IsoProp+Na+H]+",84.055110
"[M+C3H9ONa]+",84.055110
"[M+H+HCOONa]+",68.994600
"[M+H-H2O]+",-17.003200
"[M+H-2H2O]+",-35.012700
"[M+NH4-H2O]+",0.022700
"[M+Li]+",7.016000
"[2M+H]+",1.007276
"[2M+NH4]+",18.033823
"[2M+Na]+",22.989218
"[2M+K]+",38.963158
"[2M+ACN+H]+",42.033823
"[2M+ACN+Na]+",64.015765
"[2M+H-H2O]+",-17.003200
"[2M+2H+3H2O]+",28.023120
